year,D,std_error,r_squared,n_events
2010,0.7077037490609769,0.042631447901642965,0.9549513508040941,316
2011,0.6596679902679399,0.03452686802491478,0.9656117984387795,209
2012,0.9697658010123082,0.03890371217493158,0.9795072905312785,686
2013,0.7130728489180516,0.05472604484939203,0.9288752022803182,250
2014,0.8019897063509537,0.06032497222603572,0.9314864358555711,408
2015,0.7480188748986037,0.05205627728942629,0.940769207020225,272
2016,0.6351845103395926,0.05203924694410382,0.9197448474142402,188
2017,0.5281974904193677,0.051383776951533,0.8904500248469005,123
2018,0.6009967758609355,0.05623070449852773,0.8978264437004075,168
2019,0.6323427968530041,0.04293912266765262,0.9434462144923363,257
2020,0.5819912404466537,0.05766417558161964,0.8868226762120096,140
2021,0.6466917222945547,0.047655037166406546,0.9340611054743786,232
2022,0.6304649770702203,0.048000051860502456,0.9299265529307434,227
2023,0.6223767186314593,0.03645797790600101,0.9572960453858826,200
2024,0.5796924885064381,0.05206269706719722,0.905093733374956,151
2025,0.6164172438048965,0.040641923191478455,0.946510594068086,206
