year,D,std_error,r_squared,n_events
2010,0.2840910114589261,0.02340176758880248,0.9189389285620316,92
2011,0.23843585779628856,0.031074696765285462,0.8191298951213843,59
2012,0.31351821937734825,0.032931404956694124,0.8745620541414153,103
2013,0.3462022537458228,0.036497019196084036,0.8737616417249643,116
2014,0.29441455200479905,0.04020030881071201,0.8049114820828123,82
2015,0.5509441232260228,0.014813078280121154,0.9906898518353973,400
2016,0.38417258837441043,0.027641163106821565,0.9369452992501366,118
2017,0.3056220273255263,0.02428857714807847,0.9241233513757852,81
2018,0.3346369064682619,0.02885587999730474,0.9118564015531408,101
2019,0.2928498276725409,0.03428846608618241,0.8487399718258197,98
2020,0.37944029991196276,0.031157285353916236,0.9194093630451453,157
2021,0.3299718028366113,0.027757408520390603,0.915758074624565,126
2022,0.35108782368545144,0.03564406468541967,0.8818386623259158,111
2023,0.4067106946896163,0.026791013681976276,0.946602827956001,135
2024,0.3584419473156694,0.027713484746683618,0.9278916991179853,134
2025,0.48283627978357674,0.03041310456891546,0.9509517459409151,242
